Technique,Description,Tags,Fields,Program,Resumen
¿Qué te hace decir eso?,"Esta rutina de pensamiento ayuda a reflexionar sobre el propio conocimiento. Puede ser muy útil para el desarrollo crítico y la defensa de hipótesis.

De la entrada Rutines de pensament:

## CÓMO SE APLICA:

En esta rutina de pensamiento se pide a los estudiantes que describan algo: como un objeto o concepto. Y después tienen que apoyar la interpretación con la evidencia.

Es útil cuando se utiliza en objetos como obras de arte o artefactos históricos, pero también puede ser utilizado para explorar un poema, realizar observaciones científicas e hipótesis, o investigar las ideas más conceptuales (es decir: la democracia…,).

La rutina se puede adaptar para ser utilizada con casi cualquier tema y también puede ser útil para la recopilación de información o saber los conceptos generales de los estudiantes en la introducción de un nuevo tema.

## DESARROLLO DE LA RUTINA:

En la mayoría de los casos, la rutina toma la forma presentándola a toda una clase o grupo de conversación, usando como inicio un objeto o tema central, pero también se puede utilizar en pequeños grupos o por parejas. La primera vez que pongas en práctica la rutina con tus alumnos, puedes ayudar a los alumnos realizando preguntas que les ayuden a canalizar el tema y así entre todos van interpretando y concluyendo con el objetivo de la rutina.

Las preguntas básicas pueden ser muchas y se pueden variar en número y formas, dependiendo del contexto, algunos ejemplos pueden ser: ¿Qué sabe usted? ¿Qué es lo que ves o sabes que te hace decir eso?, aunque también es posible que nos venga bien trabajar las interpretaciones que los alumnos realizan del tema que se está trabajando y de esta manera podemos utilizar preguntas como: ¿Qué ves? o ¿Qué sabe usted? Con el tiempo los estudiantes pueden empezar a apoyar automáticamente sus interpretaciones con evidencias y, finalmente, los estudiantes empezarán a interiorizar la rutina.","evidencias, interpretación, pensamiento crítico, metacognición, reflexión","Procesamiento y Análisis de la información, Construcción de conocimiento, Pensamiento Crítico y Metacognición, Cohesión y Cooperación",,"Rutina de pensamiento en la que el alumnado interpreta una imagen, texto, objeto o situación y justifica su respuesta con evidencias. Sirve para desarrollar el pensamiento crítico, mejorar la observación, fundamentar hipótesis y acostumbrar al alumnado a explicar por qué sostiene una idea."
¿Quién es quién?,"En esta dinámica se trata de que los alumnos se definan a sí mismos, pero no físicamente sino su carácter, aficiones o gustos.

1. El profesor/a explica una breve historia, por ejemplo, que recibirán la visita de un personaje famoso y tienen que escribir una carta de presentación.
1. Los alumnos escriben una carta donde hablen de sus gustos, aficiones, su carácter, etc., pero no sobre su aspecto físico ni cómo van vestidos. Es bueno que el profesorado se implique y escriba también su propia descripción.
1. Se van leyendo las cartas una a una y los alumnos intenten adivinar quién la ha escrito.

Fuente: Romero, G.A. (2009). Técnicas para trabajar la cohesión de una clase.","cohesión de grupo, expresión personal, escucha activa, presentación oral",Cohesión y Cooperación,,"Dinámica de cohesión en la que cada alumno escribe una descripción personal sin mencionar su aspecto físico y el grupo intenta adivinar de quién se trata. Sirve para favorecer el conocimiento mutuo, mejorar la expresión personal y crear un clima de confianza dentro del grupo clase."
1 - 2 - 4,"TAMAÑO DEL EQUIPO: Parejas y equipos base. 

OBJETIVOS: Activar conocimientos previos, resolver problemas, repasar 

PASOS: 

1. El profesor plantea una pregunta, problema o actividad. 
1. Cada alumno piensa individualmente su opinión o cuál cree que es la respuesta correcta y la escribe. 
1. Los alumnos se colocan por parejas. Intercambian sus respuestas, las comentan, y cada pareja escribe la respuesta a la cual han llegado en común. 
1. Las dos parejas ponen en común sus escritos, los comentan y elaboran entre todos una respuesta completa que contenga las aportaciones de todos los miembros del equipo base. 

OBSERVACIONES Y CONSEJOS PRÁCTICOS: 
Se trata de una estructura que combina la actividad individual con dos de los agrupamientos más habituales del aprendizaje cooperativo: parejas y equipo base.  

Se puede realizar de forma oral o por escrito. 
Es muy útil para corregir ejercicios. Se puede unir a la estructura de Cabezas juntas numeradas, donde el profesor, después de su exposición, permite que los alumnos den la respuesta más adecuada o relaciona las que aportan los alumnos, de manera que el ejercicio queda corregido. 

Debemos tener muy en cuenta los tiempos necesarios para cada uno de los alumnos, al objeto de que se respete el principio de participación igualitaria. 

La resolución de la tarea por parte de los equipos puede ir acompañada de una recompensa del grupo y del profesor, en forma de elogio, aplauso, etc.


Fuente: Pérez, M. (2015). Dinámicas cooperativas.

## Ejemplo de aplicación de la Técnica cooperativa: 1 - 2 - 4:

1. El profesor de ciencias plantea una pregunta sobre el sistema solar a sus alumnos: ""¿Cuáles son las principales características del planeta Marte?""

1. Cada alumno piensa individualmente su respuesta y la escribe en una hoja de papel.
1. Los alumnos se colocan en parejas e intercambian sus respuestas. Discuten y comentan las respuestas del otro miembro de la pareja y deciden cuáles son las más adecuadas. Cada pareja escribe la respuesta final en común.
1. Las dos parejas ponen en común sus escritos y discuten las diferencias y similitudes entre ellas. Elaboran una respuesta final que incluya las aportaciones de todos los miembros del equipo.
1. El profesor revisa la respuesta final del grupo y hace los comentarios o correcciones necesarios. 
","activación de conocimientos previos, cooperación, parejas, síntesis, resolución de problemas","Activación de conocimientos previos, Resolución de problemas y Retos, Cohesión y Cooperación",,"Técnica cooperativa en la que el alumnado piensa primero de forma individual, después contrasta en pareja y finalmente acuerda una respuesta en grupo. Sirve para activar conocimientos previos, resolver problemas, mejorar la participación y construir respuestas más completas mediante el contraste progresivo."
Analiza y sintetiza,"Esta rutina de pensamiento implica que los alumnos analicen un texto o una imagen e intenten sintetizar sus puntos clave. Esta rutina es útil para ayudar a los alumnos a comprender mejor los conceptos o los hechos que están estudiando, y también les ayuda a desarrollar habilidades de análisis y síntesis. Para utilizar esta rutina, se puede seguir este proceso:

- Escoge un texto o una imagen que los alumnos tengan que analizar.
- Pide a los alumnos que lean u observen atentamente el texto o la imagen.
- Pide a los alumnos que identifiquen los puntos clave del texto o la imagen.
- Pide a los alumnos que sinteticen los puntos clave en un resumen o en un esquema.
- Revisa el resumen o el esquema de los alumnos y proporciona feedback. Puedes hacerlo de manera individual o con todo el equipo, dependiendo de las necesidades de los alumnos.","análisis, síntesis, comprensión, lectura, feedback","Procesamiento y Análisis de la información, Pensamiento Crítico y Metacognición",,"Rutina en la que el alumnado identifica las ideas principales de un texto, imagen o contenido y las resume en una forma organizada. Sirve para mejorar la comprensión, desarrollar habilidades de análisis y síntesis, y comprobar si se han captado los puntos esenciales."
Aplica los conocimientos,"La rutina de pensamiento ""Aplica los conocimientos"" es una herramienta muy útil para ayudar a los estudiantes a utilizar los conocimientos que han adquirido de manera activa y reflexiva. Esto implica aplicar los conocimientos a situaciones o problemas nuevos, con el fin de comprender mejor los conceptos y utilizar el pensamiento crítico para resolver problemas.



    Parte del profesor:

1. Establece el objetivo de la rutina: antes de comenzarla, es importante que expliques a los alumnos cuál es el objetivo de la rutina y cómo se relaciona con el material que estáis estudiando.

1. Proporciona el contexto: da a los alumnos una situación o un problema donde tengan que utilizar los conocimientos que han adquirido. Esto puede ser una pregunta, una situación o un problema que hayas preparado o que hayas encontrado en una fuente externa.

1. Facilita los recursos: asegúrate de que disponen de los recursos que necesitan para resolver la situación o el problema al que tienen que hacer frente. Esto puede incluir material de lectura, bases de datos, herramientas en línea, etc.

1. Establece una fecha límite: fija una fecha límite para que los alumnos completen la rutina. Esto les ayudará a gestionar el tiempo y a no dejar las cosas para última hora.

Parte de los alumnos:

1. Aplicad los conocimientos que habéis adquirido para resolver la situación o el problema que os han proporcionado. Utilizad las herramientas y los recursos que os han proporcionado para ayudaros a hacerlo.

1. Reflexionad sobre el proceso de resolver la situación o el problema. Explicad cómo habéis utilizado los conocimientos que habéis adquirido para hacerlo, y qué dificultades o éxitos habéis encontrado.

1. Revisad el trabajo que habéis hecho para aseguraros de que habéis aplicado los conocimientos de manera adecuada y que habéis llegado a conclusiones razonables. Si hay algo que no os queda claro, no dudéis en pedir ayuda o en hacer preguntas.","aplicación de conocimientos, resolución de problemas, pensamiento crítico, reflexión, autonomía","Resolución de problemas y Retos, Procesamiento y Análisis de la información",,"Rutina en la que el alumnado utiliza conocimientos ya adquiridos para resolver una situación o problema nuevo. Sirve para transferir aprendizajes, reforzar la comprensión, desarrollar pensamiento crítico y reflexionar sobre cómo se han usado los conocimientos en un contexto concreto."
Aprendizaje basado en casos (ABC),"Es un modelo flexible, en el cual el profesor plantea un caso que los estudiantes pueden leer, explorar o debatir, permitiendo que cada uno desarrolle su propia opinión. 

Los casos son situaciones o acontecimientos concretos de la vida real o simulados, pero realistas. Los alumnos deben analizarlo o proporcionar respuestas de solución.



## Aplicación del ABC

### 1. Estudio individual
Objetivo:
Efectuar un análisis del caso asumiendo el papel de tomador de decisiones, plantear las alternativas de solución al problema que describe el caso tras seleccionar la más apropiada, formular un plan de acción.

### 2. Discusión en grupos
Objetivos:

1. Respecto al caso: intercambiar conocimientos y experiencias que tiene cada miembro del grupo, compartir información y fortalecer el análisis ante el caso.
1. En cuanto al Método: Desarrollar capacidad de comunicación y la capacidad de trabajo en equipo.

### 3. Sesión plenaria
Objetivos:
Efectuar un análisis constructivo del caso, a partir de las aportaciones individuales de los estudiantes, que permita bajo la orientación del profesor clarificar conceptos, consolidar posiciones y obtener conclusiones.

### 4. Evaluación
Criterios: (¿qué se evalúa?)

1. El grado de preparación del caso
1. La solidez en la argumentación
1. La capacidad para defender posiciones
1. La coherencia en la expresión oral
1. El nivel de aportación a la discusión

Fuentes:

- AQU. (2009). Metodologías activas y formativas.
- López, A. (2008). El método de casos

## Ejemplo

Los alumnos de la ESO están estudiando la economía y tienen que trabajar con el caso de una empresa local que está teniendo dificultades financieras. El profesor puede proporcionar a los estudiantes información sobre la empresa, como sus finanzas, sus productos o servicios, su competencia, etc., y pedirles que analicen la situación y propongan soluciones a los problemas que la empresa está experimentando.

1. Estudio individual del caso: Los estudiantes deben leer y explorar el caso proporcionado por el profesor y desarrollar su propia opinión sobre la situación que se describe. Deben hacer un análisis de la situación de la empresa y proponer diferentes soluciones a los problemas que la empresa está experimentando. Después deben seleccionar la mejor solución y formular un plan de acción para implementarla.
   1. Analizar la situación de la empresa
   1. Proponer soluciones a los problemas que la empresa está experimentando
   1. Seleccionar la mejor solución
   1. Formular un plan de acción
1. Discusión en grupos: Los estudiantes se reúnen en grupos para discutir el caso y compartir sus ideas y experiencias relacionadas con el tema. Esta discusión tiene como objetivos intercambiar conocimientos y fortalecer el análisis ante el caso, así como mejorar la capacidad de comunicación y las habilidades de trabajo en equipo de los estudiantes.
   1. Intercambiar conocimientos y experiencias relacionadas con el caso
   1. Compartir información
   1. Fortalecer el análisis ante el caso
   1. Desarrollar la capacidad de comunicación
   1. Mejorar las habilidades de trabajo en equipo
1. Sesión plenaria: Después de la discusión en grupos, el profesor dirige una sesión plenaria con toda la clase para analizar de forma constructiva el caso, clarificar conceptos y consolidar posiciones. Esta sesión tiene como objetivo llegar a conclusiones sólidas a partir de las aportaciones individuales de los estudiantes.
   1. Analizar de forma constructiva el caso
   1. Clarificar conceptos
   1. Consolidar posiciones
   1. Obtener conclusiones
1. Evaluación: Los estudiantes se evalúan en función del grado de preparación del caso, la solidez de sus argumentaciones, la capacidad para defender sus posiciones, la coherencia en la expresión oral y el nivel de aportación a la discusión.
   1. Grado de preparación del caso
   1. Solidez en la argumentación
   1. Capacidad para defender posiciones
   1. Coherencia en la expresión oral
   1. Nivel de aportación a la discusión

","casos, análisis, toma de decisiones, argumentación, trabajo en equipo","Resolución de problemas y Retos, Construcción de conocimiento, Comunicación y Creatividad",,"Metodología en la que se plantea un caso realista para que el alumnado lo analice, debata y proponga soluciones. Sirve para desarrollar la toma de decisiones, la argumentación, la comprensión de situaciones complejas y el trabajo en equipo."
Aprendizaje basado en el juego (ABJ),"El aprendizaje basado en el juego se fundamenta en el **uso de juegos educativos** con el fin de mejorar la motivación y adquisición de conocimientos y competencias por parte de los alumnos en su proceso de aprendizaje. En particular, se refiere a juegos digitales o de naturaleza computacional aunque también incluye los tradicionales, con la finalidad de dar apoyo a la educación, el aprendizaje o la evaluación. Se considera una manera eficaz para motivar a los estudiantes y participar en experiencias de aprendizaje activo.

Los juegos que se utilizan en el ABJ, normalmente han sido creados específicamente con motivación educativa.

Una diferencia fundamental entre la ludificación y el **aprendizaje basado en el juego**, es que en el primero se utilizan técnicas de los juegos para realizar actividades formales (conseguir puntos, subir de nivel, obtener una insignia, etc.), mientras que en el segundo **se utilizan juegos**, no solo sus técnicas.

Comparación de ABJ con otras metodologías:

| JUEGO | LUDIFICACIÓN (gamificación) | ABJ |
|---|---|---|
|Se utilizan juegos|Se utilizan técnicas de los juegos para realizar actividades formales|Se utilizan los juegos, no solo sus técnicas|
|El objetivo es divertirse|Conjunto de tareas con una recompensa establecida|Juego con unos objetivos de aprendizaje definidos|
|Ganar o perder forma parte del juego|Motivar para el aprendizaje|Motivar para el aprendizaje|
|La finalidad es jugar|El juego es el motor|El juego es la recompensa|

Adaptado de Wikipedia.

## Ejemplo

Un ejemplo de aprendizaje basado en el juego (ABJ) en educación secundaria podría ser el siguiente:

Imaginad que los estudiantes de la ESO están estudiando la historia y el profesor quiere utilizar el ABJ para ayudarles a mejorar su comprensión de los hechos históricos. El profesor puede utilizar un juego digital o tradicional en el que los estudiantes tienen que responder a preguntas sobre la época que están estudiando y completar actividades relacionadas con esta. Por ejemplo, el juego podría consistir en una serie de niveles en los que los estudiantes tienen que responder a preguntas sobre los hechos históricos más importantes, completar crucigramas o juegos de relación con la época que están estudiando, o utilizar recursos como mapas o imágenes para ayudarles a comprender mejor el contexto histórico. El juego puede utilizar diferentes elementos motivadores, como puntos, niveles o insignias para ayudar a motivar a los estudiantes y hacer que el aprendizaje sea más activo.","juego, motivación, aprendizaje activo, cooperación, creatividad","Cohesión y Cooperación, Comunicación y Creatividad",,"Metodología que utiliza juegos educativos, digitales o analógicos, con objetivos de aprendizaje definidos. Sirve para aumentar la motivación, favorecer la participación activa y trabajar contenidos o competencias mediante dinámicas lúdicas con finalidad formativa."
Aprendizaje basado en indagación,"## Descripción
Metodología en la que el aprendizaje se organiza a partir de preguntas, observaciones o problemas que el alumnado debe investigar. Puede ser una indagación guiada por el profesor o una indagación más abierta, según la autonomía del grupo.

## Funcionamiento
1. Se plantea una pregunta investigable o una situación que despierta curiosidad.
2. Los alumnos formulan explicaciones iniciales o hipótesis.
3. Buscan información, realizan observaciones, experimentos o análisis de datos.
4. Organizan las evidencias obtenidas.
5. Elaboran una explicación y la comunican.
6. Revisan qué han aprendido y qué nuevas preguntas aparecen.

## Objetivos
- Desarrollar pensamiento científico y razonamiento basado en evidencias.
- Mejorar la capacidad para formular preguntas investigables.
- Relacionar datos, explicaciones y conclusiones.

## Ejemplo
En biología, los alumnos investigan por qué algunas semillas germinan mejor que otras. Diseñan una pequeña prueba con distintas condiciones de luz o humedad, recogen datos y justifican sus conclusiones.","indagación, preguntas, hipótesis, investigación, evidencias, pensamiento científico","Construcción de conocimiento, Procesamiento y Análisis de la información, Pensamiento Crítico y Metacognición",,"Metodología en la que el aprendizaje parte de preguntas, observaciones o problemas que el alumnado debe investigar. Sirve para desarrollar pensamiento científico, formular hipótesis, recoger evidencias y construir explicaciones razonadas a partir de datos."
Aprendizaje basado en la acción (ABA),"Se entiende por ABA una estrategia o metodología de enseñanza y aprendizaje basada en el trabajo cooperativo en torno a actividades que cumplen los criterios: **adecuada mediación instrumental y social** y **una vinculación intelectual, emocional y territorial**. 

Los procesos de enseñanza y aprendizaje se generan a través del trabajo colaborativo, guiado por el profesor o profesora, en torno a la combinación de situaciones **contextualizadas, fuera del salón de clase**, y **descontextualizadas, en el salón de clase**. 

Es el estudio, análisis o actuación en la realidad de un aspecto del entorno.

Así como el ABP permite superar la limitación del “silencio en las aulas” a través del ejercicio del trabajo individual y colectivo en torno a situaciones y objetivos de aprendizaje, **el ABA permite superar la limitación de la frontera entre el salón de clase descontextualizado y la realidad o el mundo de vida contextualizado**. En este sentido, la aportación del ABA al ABP consiste en el énfasis en la creación de actividades significativas vinculadas con el territorio, es decir, **el entorno real en el que se mueve el alumnado**.

- 1ª fase. Conocimientos previos, explicitación de los objetivos de aprendizaje, calendario y puesta en común.

- 2ª fase. Realización de la actividad. En las clases sucesivas se desarrollan las siguientes actividades previstas. En esta fase se incluye trabajo contextualizado, fuera del aula, y descontextualizado, discusión de materiales en el aula.

- 3ª fase. Presentación de la experiencia. Finalmente, reflexiona, comparte y valora la experiencia.


Adaptado de: Esteban, M. (2011). Del “Aprendizaje Basado En Problemas” (ABP) al “Aprendizaje Basado En La Acción” (ABA). Claves para su complementariedad e implementación.

## Ejemplo

Un ejemplo de aprendizaje basado en la acción (ABA) en educación secundaria podría ser el siguiente:

Imaginad que los estudiantes de la ESO están estudiando el medio ambiente y el profesor quiere utilizar el ABA para ayudarles a comprender mejor la importancia de proteger los recursos naturales. El profesor puede planificar una actividad en la que los estudiantes tienen que trabajar colaborativamente para investigar sobre un problema ambiental específico, como la degradación de las aguas o la contaminación del aire, en su localidad. Después, tienen que diseñar una campaña de concienciación para promover la preservación de los recursos naturales y presentarla al resto de la clase. Esta actividad incluye tanto trabajos contextualizados, como realizar entrevistas o realizar observaciones de campo, como trabajos descontextualizados, como utilizar recursos digitales o elaborar materiales de promoción. Al final de la actividad, los estudiantes reflexionan sobre el proceso que han seguido y comparten los resultados de su campaña con el resto de la clase. Este ejemplo muestra cómo el ABA puede utilizar la combinación de situaciones contextualizadas y descontextualizadas para ayudar a los estudiantes a conectar con su entorno y desarrollar habilidades y conocimientos de manera significativa.","aprendizaje situado, acción, entorno, cooperación, reflexión","Construcción de conocimiento, Resolución de problemas y Retos",,"Metodología basada en actividades vinculadas con el entorno real del alumnado. Sirve para conectar el aprendizaje con situaciones contextualizadas, promover la cooperación, favorecer la reflexión y dar sentido práctico a los contenidos trabajados."
Aprendizaje basado en la investigación (ABI),"El aprendizaje basado en investigación (ABI), en inglés *Research Based Learning*, consiste en realizar o participar en procesos de búsqueda, aplicando la metodología para comprobar o no la veracidad de una hipótesis, para dar respuesta a un problema o para responder a una pregunta planteada, acompañándolos y supervisando todo el proceso.

Se trata, pues, de aplicar el método científico para investigar.

El aprendizaje basado en laboratorio es un caso particular de este tipo de aprendizaje.

Hay 5 posibles objetivos del ABI:

1. Describir
1. Comparar
1. Evaluar
1. Explicar o predecir
1. Diseñar o desarrollar



## Implementación en el aula

1. **Identificar problemas o situaciones problemáticas que requieren investigación**. Son los propios estudiantes los encargados de buscar problemáticas que quieran solucionar o investigar, siendo el docente un facilitador y orientador para que obtengan los resultados esperados.

1. **Estructurar el problema**. Al ser una estrategia basada en la investigación, la metodología científica se tiene que utilizar para estructurar el tema o el problema que quieren investigar, en esta fase pueden proporcionar las hipótesis que ayuden a resolver el problema.

1. **Teorizar sobre posibles soluciones**. Es importante que los estudiantes, utilizando la creatividad y su ingenio, sean capaces de teorizar las conclusiones o soluciones que pueden encontrar en el camino de la investigación.

1. **Escoger una metodología para investigar alternativas de solución**. En este punto, el rol del profesor es importante para que los estudiantes conozcan las diversas metodologías que hay para investigar y para que puedan escoger la más adecuada para su trabajo.

1. ** Generar evidencias con base a la investigación**. Esto le entregará peso y validez al trabajo que realicen.
1. **Analizar información o datos**. Es importante que los alumnos puedan analizar, comparar, diferenciar y generar conclusiones sobre la base de los datos encontrados en su investigación.
 
1. **Utilizar pensamiento inductivo e hipotético-deductivo**.
1. **Formular inferencias y conclusiones mediante un proceso de búsqueda con rigor científico**. Este punto y el anterior marcan la diferencia con otras estrategias actuales, como el aprendizaje basado en proyectos o basado en problemas, ya que el ABI requiere la utilización del rigor de la metodología científica, los otros tipos de aprendizajes no la utilizan necesariamente.

Otra versión, más simple, de los pasos a seguir es:

1. **Explicación del contexto**. Se explica a los alumnos cuál es el problema.
1. **Reconocimiento de ideas previas**. Son preguntas o actividades para ver lo que los discentes ya saben.
1. **Pregunta de investigación**. Se presenta la pregunta que tendrán que investigar que puede pertenecer a lo que ya se ha visto en clase. Es importante que esta pregunta se pueda resolver con los métodos propios de la disciplina de la clase.
1. **Hipótesis**. Los alumnos hacen hipótesis sobre las posibles respuestas a la pregunta.
1. **Comprobación de la hipótesis.** Mediante la experimentación (en el caso de que sea un problema experimental), la recopilación de datos y su análisis.
1. **Elaboración de resultados y presentación al resto de la clase**.

Fuentes: 

- Briceño, G. (2021). Aprendizaje basado en la investigación: estrategia educativa para el desarrollo de competencias.
- Servicio de Innovación Educativa de la UPM (Julio 2020). Aprendizaje basado en la investigación.
- Lamelo, O.S. (2015). Caja de Herramientas Pensamiento Crítico

---
## Ejemplo
Un ejemplo de aprendizaje basado en la investigación podría ser un grupo de estudiantes que quieren investigar el efecto de los diferentes tipos de fertilizantes en el crecimiento de plantas. 

1. Identificar problemas o situaciones problemáticas que requieren investigación. Los estudiantes han identificado como problema o situación problemática a investigar el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas.
1. Estructurar el problema. Para estructurar el problema, los estudiantes han establecido una hipótesis, que es ""el fertilizante orgánico proporciona un mejor crecimiento de las plantas que el fertilizante químico"".
1. Teorizar sobre posibles soluciones. Los estudiantes han teorizado sobre posibles soluciones, como utilizar diferentes tipos de fertilizantes y distribuirlos en las plantas de manera diferente.
1. Escoger una metodología para investigar alternativas de solución. El profesor ha ayudado a los estudiantes a escoger una metodología adecuada para investigar el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas, como realizar experimentos con diferentes grupos de plantas y medir el crecimiento cada semana.
1. Generar evidencias con base a la investigación. Para generar evidencias, los estudiantes han tomado fotografías o han realizado mediciones del crecimiento de las plantas cada semana.
1. Analizar información o datos. Los estudiantes han analizado los datos recogidos y han comparado el crecimiento de las plantas con diferentes tipos de fertilizantes.
1. Utilizar pensamiento inductivo e hipotético-deductivo. Los estudiantes han utilizado el pensamiento inductivo e hipotético-deductivo para inferir conclusiones sobre el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas.
1. Formular inferencias y conclusiones mediante un proceso de búsqueda con rigor científico. Los estudiantes han formulado inferencias y conclusiones sobre el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas utilizando un proceso de búsqueda con rigor científico.

También podemos utilizar una estructura más simple para el mismo problema:

1. Explicación del contexto. Se explica a los alumnos que quieren investigar el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas.
1. Reconocimiento de ideas previas. Se hacen preguntas a los estudiantes sobre qué saben sobre fertilizantes y el crecimiento de las plantas para ver qué ideas previas tienen sobre el tema.
1. Pregunta de investigación. Se presenta la pregunta ""¿Qué tipo de fertilizante proporciona un mejor crecimiento de las plantas: el fertilizante orgánico o el fertilizante químico?"" a los estudiantes.
1. Hipótesis. Los alumnos hacen hipótesis sobre las posibles respuestas a la pregunta, como ""creemos que el fertilizante orgánico proporcionará un mejor crecimiento de las plantas que el fertilizante químico"".
1. Comprobación de la hipótesis. Los estudiantes realizan experimentos con diferentes grupos de plantas fertilizadas con orgánico o químico y miden el crecimiento cada semana para comprobar si la hipótesis es correcta o no.
1. Elaboración de resultados y presentación al resto de la clase. Los estudiantes analizan los datos recogidos y elaboran resultados y conclusiones sobre el efecto de los diferentes tipos de fertilizantes en el crecimiento de las plantas. A continuación, presentan los resultados de la investigación al resto de la clase de manera clara y con rigor científico.

","investigación, método científico, hipótesis, datos, pensamiento crítico, presentación","Construcción de conocimiento, Procesamiento y Análisis de la información, Pensamiento Crítico y Metacognición",,"Metodología en la que el alumnado investiga una pregunta o problema siguiendo procedimientos propios del método científico. Sirve para formular hipótesis, analizar datos, obtener conclusiones y desarrollar pensamiento crítico y rigor en la búsqueda de respuestas."
