ID,Technique,Description,Tags,Fields,Program,Abstract,Bloc,Relacionades
metac_001,Què et fa dir això?,"Aquesta rutina de pensament ajuda a reflexionar sobre el propi coneixement. Pot ser molt útil per al desenvolupament crític i la defensa d'hipòtesis.

De l'entrada Rutines de pensament:

## COM S'APLICA:

En aquesta rutina de pensament es demana als estudiants que descriguin alguna cosa: com a objecte o concepte. I després han de donar suport a la interpretació amb l'evidència.

És útil quan s'utilitza en objectes com obres d'art o artefactes històrics, però també pot ser utilitzat per explorar un poema, fer observacions científiques i hipòtesis, o investigar les idees més conceptuals (és a dir: la democràcia…,).

La rutina es pot adaptar per ser utilitzada amb gairebé qualsevol tema i també pot ser útil per a la recopilació d'informació o saber els conceptes generals dels estudiants en la introducció d'un nou tema.

## DESENVOLUPAMENT DE LA RUTINA:

En la majoria dels casos, la rutina pren la forma presentant-la a tota una classe o grup de conversa, usant com a inici un objecte o tema central, però també es pot utilitzar en petits grups o per parelles. La primera vegada que es poses en pràctica la rutina amb els teus alumnes, pots ajudar els/les alumnes fent preguntes i que els ajudin a canalitzar el tema i així entre tots van interpretant i concloent amb l'objectiu de la rutina.

Les preguntes bàsiques poden ser moltes i es poden variar en un nombre i maneres, depenent del context, alguns exemples poden ser: Què sap vostè? Què és el que veus o saps que et fa dir això?, encara que també és possible que ens vinguin bé treballar les interpretacions que els alumnes fan del tema que s'està treballant i d'aquesta manera podem fer servir preguntes com: Què veus? o Què sap vostè? Amb el temps els estudiants poden començar a donar suport automàticament a les seves interpretacions amb evidències i, finalment, els estudiants començaran a interioritzar la rutina.

## Exemple

En una classe d’història, el professor mostra una fotografia d’una fàbrica durant la Revolució Industrial i pregunta: “Què creieu que està passant en aquesta imatge?”. Un alumne respon: “Sembla que les condicions de treball eren dures”. El professor li demana que justifiqui la interpretació: “Què et fa dir això?”. L’alumne assenyala la presència de molts treballadors junts, la manca de llum natural i l’edat aparent d’alguns infants.

A partir d’aquestes respostes, la classe diferencia entre observacions, interpretacions i evidències. La rutina ajuda que l’alumnat no es limiti a opinar, sinó que doni suport a les seves idees amb indicis concrets.

## Relació amb CER

Aquesta rutina es relaciona amb **Afirmació, evidència i raonament (CER)** perquè ambdues demanen justificar les idees amb evidències. En tots dos casos l'alumnat ha d'evitar respostes basades només en opinions i aprendre a distingir entre observació, interpretació i justificació.

La diferència principal és que «Què et fa dir això?» funciona com una rutina breu d'observació i interpretació: l'alumnat diu què pensa sobre una imatge, text, objecte o situació i explica quins indicis el porten a pensar-ho. CER, en canvi, exigeix una estructura argumentativa més completa: una afirmació explícita, evidències seleccionades i un raonament que expliqui per què aquestes evidències sostenen l'afirmació.

Per això, «Què et fa dir això?» és especialment útil per iniciar una conversa, activar l'observació o fer visibles les interpretacions de l'alumnat. CER és més adequat quan es vol elaborar una resposta final, una explicació científica, una conclusió de laboratori o un text argumentat.","evidències, interpretació, pensament crític, metacognició, reflexió","Rutines de pensament, Processament i Anàlisi de la informació, Construcció de coneixement, Pensament Crític i Metacognició, Cohesió i Cooperació",,"Rutina de pensament en què l'alumnat interpreta una imatge, text, objecte o situació i justifica la resposta amb evidències. Serveix per desenvolupar pensament crític, millorar l'observació, fonamentar hipòtesis i explicar per què se sosté una idea.",Metodologies actives,metac_099; metac_045; metac_125
metac_002,Qui és qui?,"En aquesta dinàmica es tracta que els alumnes es defineixin a si mateixos, però no físicament sinó el seu caràcter, aficions o gustos.

1. El professor/a explica una breu història, per exemple, que rebran la visita d'un personatge famós i han d'escriure una carta de presentació.
1. Els alumnes escriuen una carta on parlin dels seus gustos, aficions, el seu caràcter, etc., però no sobre el seu aspecte físic ni com van vestits. És bo que el professorat s'impliqui i escrigui també la seva pròpia descripció.
1. Es van llegint les cartes una a una i els alumnes intenten esbrinar qui l'ha escrit.

## Exemple

A l’inici de curs, el professor proposa al grup que escrigui una breu carta per presentar-se a una persona que encara no els coneix. A la carta poden parlar de les seves aficions, de com els agrada treballar, de què els costa més, de quin tipus d’activitats els motiven o d’algun tret del seu caràcter, però no poden mencionar dades físiques.

Després, el professor llegeix les cartes sense dir-ne el nom. El grup intenta endevinar qui l’ha escrita i ha de justificar la resposta amb alguna pista del text. L’activitat facilita que els alumnes es coneguin millor i genera un clima inicial de confiança.

Font: Romero, G.A. (2009). Técnicas para trabajar la cohesión de una clase.
","cohesió de grup, expressió personal, escolta activa, presentació oral",Cohesió i Cooperació,,"Dinàmica de cohesió en què cada alumne escriu una descripció personal sense mencionar l'aspecte físic i el grup intenta endevinar de qui es tracta. Serveix per afavorir el coneixement mutu, millorar l'expressió personal i crear confiança.",Organització de l’aprenentatge cooperatiu,metac_053; metac_054; metac_021
metac_003,1 - 2 - 4,"Mida de L'EQUIP: Parelles i equips base. 

OBJECTIUS: Activar coneixements previs, resoldre problemes, repassar 

PASSOS: 

1. El professor planteja una pregunta, problema o activitat. 
1. Cada alumne pensa individualment la seva opinió o quin creu que és la resposta correcta i l'escriu. 
1. Els alumnes es col·loquen per parelles. Intercanvien les seves respostes, les comenten, i cada parella escriu la resposta a la qual han arribat en comú. 
1. Les dues parelles posen en comú els seus escrits, els comenten i elaboren entre tots una resposta completa que contingui les aportacions de tots els membres de l'equip base. 

OBSERVACIONS I CONSELLS PRÀCTICS: 
Es tracta d'una estructura que combina l'activitat individual amb dos dels agrupaments més habituals de l'aprenentatge cooperatiu: parelles i equip base.  

Es pot realitzar de forma oral o per escrit. 
És molt útil per corregir exercicis. Es pot unir a l'estructura de Caps juntes numerades, on el professor, després de la seva exposició, permet que els alumnes donin la resposta més adequada o relaciona les que aporten els alumnes, de manera que l'exercici queda corregit. 

Hem de tenir molt en compte els temps necessaris per a cada un dels alumnes, a l'objecte que es respecti el principi de participació igualitària. 

La resolució de la tasca per part dels equips pot anar acompanyada d'una recompensa del grup i del professor, en forma d'elogi, aplaudiment, etc.


Font: Pérez, M. (2015). Dinámicas cooperativas.

## Exemple d'aplicació de la Tècnica cooperativa: 1-2-4:

1. El professor de ciències planteja una pregunta sobre el sistema solar als seus alumnes: ""Quines són les principals característiques del planeta Mart?""

1. Cada alumne pensa individualment la seva resposta i l'escriu en una fulla de paper.
1. Els alumnes es col·loquen en parelles i intercanvien les seves respostes. Discuteixen i comenten les respostes de l'altre membre de la parella i decideixen quines són les més adequades. Cada parella escriu la resposta final en comú.
1. Les dues parelles posen en comú els seus escrits i discuteixen les diferències i similituds entre elles. Elaboren una resposta final que inclogui les aportacions de tots els membres de l'equip.
1. El professor revisa la resposta final del grup i fa els comentaris o correccions necessaris. 
","activació de coneixements previs, cooperació, parelles, síntesi, resolució de problemes","Activació de coneixements previs, Resolució de problemes i Reptes, Cohesió i Cooperació",GeCo - Generador d'Equips Cooperatius|https://jjdeharo.github.io/geco/,"Tècnica cooperativa en què l'alumnat pensa primer individualment, després contrasta en parella i finalment acorda una resposta en grup. Serveix per activar coneixements previs, resoldre problemes, millorar la participació i construir respostes més completes mitjançant el contrast progressiu.",Organització de l’aprenentatge cooperatiu,metac_095; metac_076; metac_025
metac_004,Analitza i sintetitza,"Aquesta rutina de pensament implica que els alumnes analitzin un text o una imatge i intentin sintetitzar-ne els punts clau. Aquesta rutina és útil per ajudar als alumnes a comprendre millor els conceptes o els fets que estan estudiant, i també els ajuda a desenvolupar habilitats d'anàlisi i síntesi. Per fer servir aquesta rutina, es pot seguir aquest procés:

- Escull un text o una imatge que els alumnes hagin d'analitzar.
- Demana als alumnes que llegeixin o observin atentament el text o la imatge.
- Demana als alumnes que identifiquin els punts clau del text o la imatge.
- Demana als alumnes que sintetitzin els punts clau en un resum o en un esquema.
- Revisa el resum o l'esquema dels alumnes i proporciona feedback. Pots fer-ho de manera individual o amb tot l'equip, depenent de les necessitats dels alumnes.

## Exemple

En una classe de biologia, el professor entrega un text breu sobre la circulació sanguínia i un esquema del cor. Primer, l’alumnat subratlla les idees principals: funció del cor, recorregut de la sang i diferència entre sang oxigenada i desoxigenada. Després, organitza aquestes idees en un esquema amb fletxes.

Com a síntesi final, cada estudiant escriu tres frases que expliquin el procés complet sense copiar literalment el text. El professor revisa si han distingit la informació essencial dels detalls secundaris i si l’esquema reflecteix correctament les relacions entre les parts.","anàlisi, síntesi, comprensió, lectura, feedback","Rutines de pensament, Processament i Anàlisi de la informació, Pensament Crític i Metacognició",,"Rutina en què l'alumnat identifica les idees principals d'un text, imatge o contingut i les resumeix de manera organitzada. Serveix per millorar la comprensió, desenvolupar habilitats d'anàlisi i síntesi, i comprovar si s'han captat els punts essencials.",Metodologies actives,metac_022; metac_069; metac_063
metac_005,Aplica els coneixements,"La rutina de pensament ""Aplica els coneixements"" és una eina molt útil per ajudar als estudiants a fer servir els coneixements que han adquirit de manera activa i reflexiva. Això implica aplicar els coneixements a situacions o problemes noves, per tal de comprendre millor els conceptes i fer servir el pensament crític per resoldre problemes.



    Part del professor:

1. Estableix l'objectiu de la rutina: abans de començar-la, és important que expliquis als alumnes quin és l'objectiu de la rutina i com es relaciona amb el material que esteu estudiant.

1. Proporciona el context: dona als alumnes una situació o un problema on hagin de fer servir els coneixements que han adquirit. Això pot ser una pregunta, una situació o un problema que hagis preparat o que hagis trobat en una font externa.

1. Facilita els recursos: assegura't que disposen dels recursos que necessiten per resoldre la situació o el problema que han de fer front. Això pot incloure material de lectura, bases de dades, eines en línia, etc.

1. Estableix una data límit: fixa una data límit perquè els alumnes completin la rutina. Això els ajudarà a gestionar el temps i a no deixar les coses per última hora.

Part dels alumnes:

1. Apliqueu els coneixements que heu adquirit per resoldre la situació o el problema que us he proporcionat. Utilitzeu les eines i els recursos que us han proporcionat per ajudar-vos a fer-ho.

1. Reflexioneu sobre el procés de resoldre la situació o el problema. Expliqueu com heu fet servir els coneixements que heu adquirit per fer-ho, i quines dificultats o èxits heu trobat.

1. Reviseu el treball que heu fet per assegurar-vos que heu aplicat els coneixements de manera adequada i que heu arribat a conclusions raonables. Si hi ha alguna cosa que no us quedi clar, no dubteu a demanar ajuda o en fer preguntes.

## Exemple

Després d’estudiar percentatges i interès simple, el professor planteja una situació pràctica: “Voleu comprar un ordinador de 600 euros. Una botiga ofereix un descompte del 15 % i una altra permet pagar-lo en sis mesos amb un recàrrec del 4 %. Quina opció convé més i per què?”.

L’alumnat ha d’aplicar els coneixements treballats, calcular el preu final en cada cas i justificar la seva decisió. Al final, explica quins conceptes ha utilitzat, quins passos ha seguit i quins errors ha hagut de corregir. La rutina permet comprovar si els coneixements es poden utilitzar en una situació realista i no només en exercicis aïllats.","aplicació de coneixements, resolució de problemes, pensament crític, reflexió, autonomia","Rutines de pensament, Resolució de problemes i Reptes, Processament i Anàlisi de la informació",,"Rutina en què l'alumnat utilitza coneixements ja adquirits per resoldre una situació o problema nou. Serveix per transferir aprenentatges, reforçar la comprensió, desenvolupar pensament crític i reflexionar sobre com s'han utilitzat els coneixements en un context concret.",Metodologies actives,metac_091; metac_046; metac_106
metac_006,Aprenentatge basat en casos (ABC),"És un model flexible, en el qual el professor planteja un cas que els estudiants poden llegir, explorar o debatre, permetent que cada un desenvolupi la seva pròpia opinió. 

Els casos són situacions o esdeveniments concrets de la vida real o simulat, però realistes. Els alumnes l'han d'analitzar o proporcionar respostes de solució.



## Aplicació de l'ABC

### 1. Estudi individual
Objectiu:
Efectuar una anàlisi del cas assumint el paper de prenedor de decisions, plantejar les alternatives de solució al problema que descriu el cas després de seleccionar-ne la més apropiada, formular un pla d'acció.

### 2. Discussió en grups
Objectius:

1. Respecte al cas: intercanviar coneixements i experiències que tenen cada membre del grup, compartir informació i enfortir l'anàlisi davant del cas.
1. Pel que fa al Mètode: Desenvolupar capacitat de comunicació i la capacitat de treball en equip.

### 3. Sessió plenària
Objectius:
Efectuar una anàlisi constructiva del cas, a partir de les aportacions individuals dels estudiants, que permeti sota l'orientació del professor clarificar conceptes, consolidar posicions i obtenir-ne conclusions.

### 4. Avaluació
Criteris: (què s'avalua?)

1. El grau de preparació del cas
1. La solidesa en l'argumentació
1. La capacitat per defensar posicions
1. La coherència a l'expressió oral
1. El nivell d'aportació a la discussió

Fonts:

- AQU. (2009). Metodologies actives i formatives.
- López, A. (2008). El método de casos

## Exemple

Els aumnes de l'ESO estan estudiant l'economia i han de treballar amb el cas d'una empresa local que està tenint dificultats financers. El professor pot proporcionar als estudiants informació sobre l'empresa, com ara les seves finances, els seus productes o serveis, la seva competència, etc., i demanar-los que analitzin la situació i proposin solucions als problemes que l'empresa està experimentant.

1. Estudi individual del cas: Els estudiants han de llegir i explorar el cas proporcionat pel professor i desenvolupar la seva pròpia opinió sobre la situació que es descriu. Han de fer una anàlisi de la situació de l'empresa i proposar diferents solucions als problemes que l'empresa està experimentant. Després han de seleccionar la millor solució i formular un pla d'acció per implementar-la.
   1. Analitzar la situació de l'empresa
   1. Proposar solucions als problemes que l'empresa està experimentant
   1. Seleccionar la millor solució
   1. Formular un pla d'acció
1. Discussió en grups: Els estudiants es reuneixen en grups per discutir el cas i compartir les seves idees i experiències relacionades amb el tema. Aquesta discussió té com a objectius intercanviar coneixements i enfortir l'anàlisi davant del cas, així com millorar la capacitat de comunicació i les habilitats de treball en equip dels estudiants.
   1. Intercanviar coneixements i experiències relacionades amb el cas
   1. Compartir informació
   1. Enfortir l'anàlisi davant del cas
   1. Desenvolupar la capacitat de comunicació
   1. Millorar les habilitats de treball en equip
1. Sessió plenària: Després de la discussió en grups, el professor dirigeix una sessió plenària amb tota la classe per analitzar de forma constructiva el cas, clarificar conceptes i consolidar posicions. Aquesta sessió té com a objectiu arribar a conclusions sòlides a partir de les aportacions individuals dels estudiants.
   1. Analitzar de forma constructiva el cas
   1. Clarificar conceptes
   1. Consolidar posicions
   1. Obtenir conclusions
1. Avaluació: Els estudiants s'avaluen en funció del grau de preparació del cas, la solidesa de les seves argumentacions, la capacitat per defensar les seves posicions, la coherència a l'expressió oral i el nivell d'aportació a la discussió.
   1. Grau de preparació del cas
   1. Solidesa en l'argumentació
   1. Capacitat per defensar posicions
   1. Coherència a l'expressió oral
   1. Nivell d'aportació a la discussió

","casos, anàlisi, presa de decisions, argumentació, treball en equip","Resolució de problemes i Reptes, Construcció de coneixement, Comunicació i Creativitat",,"Metodologia en què es planteja un cas realista perquè l'alumnat l'analitzi, el debati i proposi solucions. Serveix per desenvolupar la presa de decisions, l'argumentació, la comprensió de situacions complexes i el treball en equip.",Metodologies actives,metac_013; metac_091; metac_024
metac_007,Aprenentatge basat en el joc (ABJ),"L'aprenentatge basat en el joc es fonamenta en **l'ús de jocs educatius** per tal de millorar la motivació i adquisició de coneixements i competències per part dels alumnes en el seu procés d'aprenentatge. En particular, es refereix a jocs digitals o de natura computacional tot i que també inclou els tradicionals, amb la finalitat de donar suport a l'educació, l'aprenentatge o l'avaluació. Es considera una manera eficaç per a motivar els estudiants i participar en experiències d'aprenentatge actiu.

Els jocs que es fan servir en l'ABJ, normalment han estat creats específicament amb motivació educativa.

Una diferència fonamental entre la ludificació i **l'aprenentatge basat en el joc**, és que en el primer es fan servir tècniques dels jocs per fer activitats formals (aconseguir punts, pujar de nivell, obtenir una insígnia, etc.), mentre que en el segon **es fan servir jocs**, no només les seves tècniques.

Comparació d'ABJ amb altres metodologies:

| JOC | LUDIFICACIÓ (gamificació) | ABJ |
|---|---|---|
|Es fan servir jocs|Es fan servir tècniques dels jocs per fer activitats formals|Es fan servir els jocs, no només les seves tècniques|
|L'objectiu és divertir-se|Conjunt de tasques amb una recompensa establerta|Joc amb uns objectius d'aprenentatge definits|
|Guanyar o perdre forma part del joc|Motivar per a l'aprenentatge|Motivar per a l'aprenentatge|
|La finalitat és jugar|El joc és el motor|El joc és la recompensa|

Adaptat de Viquipèdia.

## Exemple

Un exemple d'aprenentatge basat en el joc (ABJ) en educació secundària podria ser el següent:

Imagineu que els estudiants de l'ESO estan estudiant la història i el professor vol utilitzar l'ABJ per ajudar-los a millorar la seva comprensió dels fets històrics. El professor pot fer servir un joc digital o tradicional en el qual els estudiants han de respondre a preguntes sobre l'època que estan estudiant i completar activitats relacionades amb aquesta. Per exemple, el joc podria consistir en una sèrie de nivells en els quals els estudiants han de respondre a preguntes sobre els fets històrics més importants, completar mots encreuats o jocs de relació amb l'època que estan estudiant, o fer servir recursos com ara mapes o imatges per ajudar-los a comprendre millor el context històric. El joc pot utilitzar diferents elements motivadors, com ara punts, nivells o insígnies per ajudar a motivar els estudiants i fer que l'aprenentatge sigui més actiu.","joc, motivació, aprenentatge actiu, cooperació, creativitat","Construcció de coneixement, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",QPlay: Concurs interactiu|https://jjdeharo.github.io/qplay/,"Metodologia que utilitza jocs educatius, digitals o analògics, amb objectius d'aprenentatge definits. Serveix per augmentar la motivació, afavorir la participació activa i treballar continguts o competències mitjançant dinàmiques lúdiques amb finalitat formativa.",Metodologies actives,metac_121; metac_094; metac_082
metac_008,Aprenentatge basat en indagació,"## Descripció
Metodologia en què l'aprenentatge s'organitza a partir de preguntes, observacions o problemes que l'alumnat ha d'investigar. Pot ser una indagació guiada pel professor o una indagació més oberta, segons l'autonomia del grup.

## Funcionament
1. Es planteja una pregunta investigable o una situació que desperta curiositat.
2. Els alumnes formulen explicacions inicials o hipòtesis.
3. Busquen informació, realitzen observacions, experiments o anàlisi de dades.
4. Organitzen les evidències obtingudes.
5. Elaboren una explicació i la comuniquen.
6. Revisen què han après i quines noves preguntes apareixen.

## Objectius
- Desenvolupar pensament científic i raonament basat en evidències.
- Millorar la capacitat per formular preguntes investigables.
- Relacionar dades, explicacions i conclusions.

## Exemple
En biologia, els alumnes investiguen per què algunes llavors germinen millor que altres. Dissenyen una petita prova amb diferents condicions de llum o humitat, recullen dades i justifiquen les seves conclusions.","indagació, preguntes, hipòtesis, investigació, evidències, pensament científic","Construcció de coneixement, Processament i Anàlisi de la informació, Pensament Crític i Metacognició",,"Metodologia en què l'aprenentatge parteix de preguntes, observacions o problemes que l'alumnat ha d'investigar. Serveix per desenvolupar pensament científic, formular hipòtesis, recollir evidències i construir explicacions raonades a partir de dades.",Metodologies actives,metac_010; metac_126; metac_045
metac_009,Aprenentatge basat en l'acció (ABA),"S'entén per ABA una estratègia o metodologia d'ensenyament i aprenentatge basada en el treball cooperatiu al voltant d'activitats que compleixen els criteris: **adequada mediació instrumental i social** i **una vinculació intel·lectual, emocional i territorial**. 

Els processos d'ensenyament i aprenentatge es generen a través del treball col·laboratiu, guiat pel professor o professora, al voltant de la combinació de situacions **contextualitzades, fora del saló de classe**, i **descontextualitzades, al saló de classe**. 

És l'estudi, anàlisi o actuació en la realitat d'un aspecte de l'entorn.

Així com l'ABP permet superar la limitació del “silenci a les aules” a través de l'exercici del treball individual i col·lectiu al voltant de situacions i objectius d'aprenentatge, **l'ABA permet superar la limitació de la frontera entre el saló de classe descontextualitzat i la realitat o el món de vida contextualitzat**. En aquest sentit, l'aportació de l'ABA a l'ABP consisteix en l'èmfasi en la creació d'activitats significatives vinculades amb el territori, és a dir, **l'entorn real en què es mou l'alumnat**.

- 1a fase. Coneixements previs, explicitació dels objectius d'aprenentatge, calendari i posada en comú.

- 2a fase. Realització de l'activitat. A les classes successives es desenvolupen les següents activitats previstes. En aquesta fase s'inclou treball contextualitzat, fora de l'aula, i descontextualitzat, discussió de materials a l'aula.

- 3a fase. Presentació de l'experiència. Finalment, reflexiona, comparteix i valora l'experiència.


Adaptat de: Esteban, M. (2011). Del “Aprendizaje Basado En Problemas” (ABP) al “Aprendizaje Basado En La Acción” (ABA). Claves para su complementariedad e implementación.

## Exemple

Un exemple d'aprenentatge basat en l'acció (ABA) en educació secundària podria ser el següent:

Imagineu que els estudiants de l'ESO estan estudiant el medi ambient i el professor vol utilitzar l'ABA per ajudar-los a comprendre millor la importància de protegir els recursos naturals. El professor pot planificar una activitat en la qual els estudiants han de treballar col·laborativament per investigar sobre un problema ambiental específic, com ara la degradació de les aigües o la contaminació de l'aire, a la seva localitat. Després, han de dissenyar una campanya de conscienciació per promoure la preservació dels recursos naturals i presentar-la a la resta de la classe. Aquesta activitat inclou tant treballs contextualitzats, com ara fer entrevistes o fer observacions de camp, com treballs descontextualitzats, com ara fer servir recursos digitals o elaborar materials de promoció. A la fi de l'activitat, els estudiants reflexionen sobre el procés que han seguit i comparteixen els resultats de la seva campanya amb la resta de la classe. Aquest exemple mostra com l'ABA pot utilitzar la combinació de situacions contextualitzades i descontextualitzades per ajudar els estudiants a connectar amb el seu entorn i desenvolupar habilitats i coneixements de manera significativa.","aprenentatge situat, acció, entorn, cooperació, reflexió","Construcció de coneixement, Resolució de problemes i Reptes, Cohesió i Cooperació",,"Metodologia basada en activitats vinculades amb l'entorn real de l'alumnat. Serveix per connectar l'aprenentatge amb situacions contextualitzades, promoure la cooperació, afavorir la reflexió i donar sentit pràctic als continguts treballats.",Metodologies actives,metac_015; metac_080; metac_016
metac_010,Aprenentatge basat en la investigació (ABI),"L'aprenentatge basat en investigació (ABI), en anglès *Research Based Learning*, consisteix a realitzar o participar en processos de recerca, aplicant la metodologia per comprovar o no la veracitat d'una hipòtesi, per donar resposta a un problema o per respondre una pregunta plantejada, acompanyant-los i supervisant tot el procés.

Es tracta, doncs, d'aplicar el mètode científic per investigar.

L'aprenentatge basat en laboratori és un cas particular d'aquest tipus d'aprenentatge.

Hi ha 5 possibles objectius de l'ABI:

1. Descriure
1. Comparar
1. Avaluar
1. Explicar o predir
1. Dissenyar o desenvolupar



## Implementació a l'aula

1. **Identificar problemes o situacions problemàtiques que requereixen investigació**. Són els mateixos estudiants els encarregats de buscar problemàtiques que vulguin solucionar o investigar, sent el docent un facilitador i orientador perquè obtinguin els resultats esperats.

1. **Estructurar el problema**. Com que és una estratègia basada en la investigació, la metodologia científica s'ha d'utilitzar per estructurar el tema o el problema que volen investigar, en aquesta fase poden proporcionar les hipòtesis que ajudin a resoldre el problema.

1. **Teoritzar sobre possibles solucions**. És important que els estudiants, utilitzant la creativitat i el seu enginy, siguin capaços de teoritzar les conclusions o solucions que poden trobar al camí de la recerca.

1. **Escollir una metodologia per investigar alternatives de solució**. En aquest punt, el rol del professor és important perquè els estudiants coneguin les diverses metodologies que hi ha per investigar i perquè puguin escollir la més adequada per a la seva feina.

1. ** Generar evidències amb base a la investigació**. Això li lliurarà pes i validesa a la feina que realitzin.
1. **Analitzar informació o dades**. És important que els alumnes puguin analitzar, comparar, diferenciar i generar conclusions sobre la base de les dades trobades a la seva recerca.
 
1. **Utilitzar pensament inductiu i hipoteticodeductiu**.
1. **Formular inferències i conclusions mitjançant un procés de recerca amb rigor científic**. Aquest punt i l'anterior fa la diferència amb altres estratègies actuals, com l'aprenentatge basat en projectes o basat en problemes, ja que l'ABI requereix la utilització del rigor de la metodologia científica, els altres tipus d'aprenentatges no l'utilitzen necessàriament.

Una altra versió, més simple, dels passos a seguir és:

1. **Explicació del context**. S'explica als alumnes quin és el problema.
1. **Reconeixement d'idees prèvies**. Són preguntes o activitats per veure el que els discents ja saben.
1. **Pregunta d'investigació**. Es presenta la pregunta que hauran d'investigar que pot pertany a allò que ja s'ha vist a classe. És important que aquesta pregunta es pugui resoldre amb els mètodes propis de la disciplina de la classe.
1. **Hipòtesis**. Els alumnes fan hipòtesis sobre les possibles respostes a la pregunta.
1. **Comprovació de la hipòtesi.** Mitjançant l'experimentació (en el cas que sigui un problema experimental), la recopilació de dades i la seva anàlisi.
1. **Elaboració de resultats i presentació a la resta de la classe**.

Fonts: 

- Briceño, G. (2021). Aprendizaje basado en la investigación: estrategia educativa para el desarrollo de competencias.
- Servicio de Innovación Educativa de la UPM (Julio 2020). Aprendizaje basado en la investigación.
- Lamelo, O.S. (2015). Caja de Herramientas Pensamiento Crítico

---
## Exemple
Un exemple d'aprenentatge basat en la investigació podria ser un grup d'estudiants que volen investigar l'efecte dels diferents tipus de fertilitzants en el creixement de plantes. 

1. Identificar problemes o situacions problemàtiques que requereixen investigació. Els estudiants han identificat com a problema o situació problemàtica a investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Estructurar el problema. Per estructurar el problema, els estudiants han establert una hipòtesi, que és ""el fertilitzant orgànic proporciona un millor creixement de les plantes que el fertilitzant químic"".
1. Teoritzar sobre possibles solucions. Els estudiants han teoritzat sobre possibles solucions, com ara utilitzar diferents tipus de fertilitzants i distribuir-los a les plantes de manera diferent.
1. Escollir una metodologia per investigar alternatives de solució. El professor ha ajudat els estudiants a escollir una metodologia adequada per investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes, com ara fer experiments amb diferents grups de plantes i mesurar el creixement cada setmana.
1. Generar evidències amb base a la investigació. Per generar evidències, els estudiants han pres fotografies o han fet mesuraments del creixement de les plantes cada setmana.
1. Analitzar informació o dades. Els estudiants han analitzat les dades recollides i han comparat el creixement de les plantes amb diferents tipus de fertilitzants.
1. Utilitzar pensament inductiu i hipotètic-deductiu. Els estudiants han utilitzat el pensament inductiu i hipotètic-deductiu per inferir conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Formular inferències i conclusions mitjançant un procés de recerca amb rigor científic. Els estudiants han formulat inferències i conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes utilitzant un procés de recerca amb rigor científic.

També podem utilitzar una estructura més simple pel mateix problema:

1. Explicació del context. S'explica als alumnes que volen investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Reconeixement d'idees prèvies. Es fan preguntes als estudiants sobre què saben sobre fertilitzants i el creixement de les plantes per veure quines idees prèvies tenen sobre el tema.
1. Pregunta d'investigació. Es presenta la pregunta ""Quin tipus de fertilitzant proporciona un millor creixement de les plantes: el fertilitzant orgànic o el fertilitzant químic?"" als estudiants.
1. Hipòtesis. Els alumnes fan hipòtesis sobre les possibles respostes a la pregunta, com ara ""creiem que el fertilitzant orgànic proporcionarà un millor creixement de les plantes que el fertilitzant químic"".
1. Comprovació de la hipòtesi. Els estudiants fan experiments amb diferents grups de plantes fertilitzades amb orgànic o químic i mesuren el creixement cada setmana per comprovar si la hipòtesi és correcta o no.
1. Elaboració de resultats i presentació a la resta de la classe. Els estudiants analitzen les dades recollides i elaboruen resultats i conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes. A continuació, presenten els resultats de la investigació a la resta de la classe de manera clara i amb rigor científic.

","investigació, mètode científic, hipòtesis, dades, pensament crític, presentació","Processament i Anàlisi de la informació, Construcció de coneixement, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Cohesió i Cooperació, Comunicació i Creativitat",,"Metodologia en què l'alumnat investiga una pregunta o problema seguint procediments propis del mètode científic. Serveix per formular hipòtesis, analitzar dades, obtenir conclusions i desenvolupar pensament crític i rigor en la cerca de respostes.",Metodologies actives,metac_008; metac_126; metac_011
