Technique,Description,Tags,Fields,Program
1 - 2 - 4,"Mida de L'EQUIP: Parelles i equips base. 

OBJECTIUS: Activar coneixements previs, resoldre problemes, repassar 

PASSOS: 

1. El professor planteja una pregunta, problema o activitat. 
1. Cada alumne pensa individualment la seva opinió o quin creu que és la resposta correcta i l'escriu. 
1. Els alumnes es col·loquen per parelles. Intercanvien les seves respostes, les comenten, i cada parella escriu la resposta a la qual han arribat en comú. 
1. Les dues parelles posen en comú els seus escrits, els comenten i elaboren entre tots una resposta completa que contingui les aportacions de tots els membres de l'equip base. 

OBSERVACIONS I CONSELLS PRÀCTICS: 
Es tracta d'una estructura que combina l'activitat individual amb dos dels agrupaments més habituals de l'aprenentatge cooperatiu: parelles i equip base.  

Es pot realitzar de forma oral o per escrit. 
És molt útil per corregir exercicis. Es pot unir a l'estructura de Caps juntes numerades, on el professor, després de la seva exposició, permet que els alumnes donin la resposta més adequada o relaciona les que aporten els alumnes, de manera que l'exercici queda corregit. 

Hem de tenir molt en compte els temps necessaris per a cada un dels alumnes, a l'objecte que es respecti el principi de participació igualitària. 

La resolució de la tasca per part dels equips pot anar acompanyada d'una recompensa del grup i del professor, en forma d'elogi, aplaudiment, etc.


Font: Pérez, M. (2015). Dinámicas cooperativas.

## Exemple d'aplicació de la Tècnica cooperativa: 1-2-4:

1. El professor de ciències planteja una pregunta sobre el sistema solar als seus alumnes: ""Quines són les principals característiques del planeta Mart?""

1. Cada alumne pensa individualment la seva resposta i l'escriu en una fulla de paper.
1. Els alumnes es col·loquen en parelles i intercanvien les seves respostes. Discuteixen i comenten les respostes de l'altre membre de la parella i decideixen quines són les més adequades. Cada parella escriu la resposta final en comú.
1. Les dues parelles posen en comú els seus escrits i discuteixen les diferències i similituds entre elles. Elaboren una resposta final que inclogui les aportacions de tots els membres de l'equip.
1. El professor revisa la resposta final del grup i fa els comentaris o correccions necessaris. 
","activació, alumnes, aplicació, cohesió, col·laboració, coneixements previs, cooperació, decisió, dinàmica de grup, equip, estructura, grup, idees prèvies, parelles, problemes, professor, recordar, repassar, reptes, resposta, solució, treball en equip","Activació de coneixements previs, Resolució de problemes i Reptes, Cohesió i Cooperació",
Analitza i sintetitza,"Aquesta rutina de pensament implica que els alumnes analitzin un text o una imatge i intentin sintetitzar-ne els punts clau. Aquesta rutina és útil per ajudar als alumnes a comprendre millor els conceptes o els fets que estan estudiant, i també els ajuda a desenvolupar habilitats d'anàlisi i síntesi. Per fer servir aquesta rutina, es pot seguir aquest procés:

- Escull un text o una imatge que els alumnes hagin d'analitzar.
- Demana als alumnes que llegeixin o observin atentament el text o la imatge.
- Demana als alumnes que identifiquin els punts clau del text o la imatge.
- Demana als alumnes que sintetitzin els punts clau en un resum o en un esquema.
- Revisa el resum o l'esquema dels alumnes i proporciona feedback. Pots fer-ho de manera individual o amb tot l'equip, depenent de les necessitats dels alumnes.","alumnes, analitza, anàlisi, comprensió, equip, feedback, individual, informació, lectura, metacognició, pensament, pensament crític, perspectiva, reflexió, resum, rutina, rutina de pensament, sintesi, sintetitza","Processament i Anàlisi de la informació, Pensament Crític i Metacognició",
Aplica els coneixements,"La rutina de pensament ""Aplica els coneixements"" és una eina molt útil per ajudar als estudiants a fer servir els coneixements que han adquirit de manera activa i reflexiva. Això implica aplicar els coneixements a situacions o problemes noves, per tal de comprendre millor els conceptes i fer servir el pensament crític per resoldre problemes.



    Part del professor:

1. Estableix l'objectiu de la rutina: abans de començar-la, és important que expliquis als alumnes quin és l'objectiu de la rutina i com es relaciona amb el material que esteu estudiant.

1. Proporciona el context: dona als alumnes una situació o un problema on hagin de fer servir els coneixements que han adquirit. Això pot ser una pregunta, una situació o un problema que hagis preparat o que hagis trobat en una font externa.

1. Facilita els recursos: assegura't que disposen dels recursos que necessiten per resoldre la situació o el problema que han de fer front. Això pot incloure material de lectura, bases de dades, eines en línia, etc.

1. Estableix una data límit: fixa una data límit perquè els alumnes completin la rutina. Això els ajudarà a gestionar el temps i a no deixar les coses per última hora.

Part dels alumnes:

1. Apliqueu els coneixements que heu adquirit per resoldre la situació o el problema que us he proporcionat. Utilitzeu les eines i els recursos que us han proporcionat per ajudar-vos a fer-ho.

1. Reflexioneu sobre el procés de resoldre la situació o el problema. Expliqueu com heu fet servir els coneixements que heu adquirit per fer-ho, i quines dificultats o èxits heu trobat.

1. Reviseu el treball que heu fet per assegurar-vos que heu aplicat els coneixements de manera adequada i que heu arribat a conclusions raonables. Si hi ha alguna cosa que no us quedi clar, no dubteu a demanar ajuda o en fer preguntes.","anàlisi, aplica, aplicació, comprensió, coneixements, crític, decisió, estudiants, informació, lectura, pensament, problemes, professor, reptes, resum, rutina, sintesi, solució","Resolució de problemes i Reptes, Processament i Anàlisi de la informació",
Aprenentatge basat en casos (ABC),"És un model flexible, en el qual el professor planteja un cas que els estudiants poden llegir, explorar o debatre, permetent que cada un desenvolupi la seva pròpia opinió. 

Els casos són situacions o esdeveniments concrets de la vida real o simulat, però realistes. Els alumnes l'han d'analitzar o proporcionar respostes de solució.



## Aplicació de l'ABC

### 1. Estudi individual
Objectiu:
Efectuar una anàlisi del cas assumint el paper de prenedor de decisions, plantejar les alternatives de solució al problema que descriu el cas després de seleccionar-ne la més apropiada, formular un pla d'acció.

### 2. Discussió en grups
Objectius:

1. Respecte al cas: intercanviar coneixements i experiències que tenen cada membre del grup, compartir informació i enfortir l'anàlisi davant del cas.
1. Pel que fa al Mètode: Desenvolupar capacitat de comunicació i la capacitat de treball en equip.

### 3. Sessió plenària
Objectius:
Efectuar una anàlisi constructiva del cas, a partir de les aportacions individuals dels estudiants, que permeti sota l'orientació del professor clarificar conceptes, consolidar posicions i obtenir-ne conclusions.

### 4. Avaluació
Criteris: (què s'avalua?)

1. El grau de preparació del cas
1. La solidesa en l'argumentació
1. La capacitat per defensar posicions
1. La coherència a l'expressió oral
1. El nivell d'aportació a la discussió

Fonts:

- AQU. (2009). Metodologies actives i formatives.
- López, A. (2008). El método de casos

## Exemple

Els aumnes de l'ESO estan estudiant l'economia i han de treballar amb el cas d'una empresa local que està tenint dificultats financers. El professor pot proporcionar als estudiants informació sobre l'empresa, com ara les seves finances, els seus productes o serveis, la seva competència, etc., i demanar-los que analitzin la situació i proposin solucions als problemes que l'empresa està experimentant.

1. Estudi individual del cas: Els estudiants han de llegir i explorar el cas proporcionat pel professor i desenvolupar la seva pròpia opinió sobre la situació que es descriu. Han de fer una anàlisi de la situació de l'empresa i proposar diferents solucions als problemes que l'empresa està experimentant. Després han de seleccionar la millor solució i formular un pla d'acció per implementar-la.
   1. Analitzar la situació de l'empresa
   1. Proposar solucions als problemes que l'empresa està experimentant
   1. Seleccionar la millor solució
   1. Formular un pla d'acció
1. Discussió en grups: Els estudiants es reuneixen en grups per discutir el cas i compartir les seves idees i experiències relacionades amb el tema. Aquesta discussió té com a objectius intercanviar coneixements i enfortir l'anàlisi davant del cas, així com millorar la capacitat de comunicació i les habilitats de treball en equip dels estudiants.
   1. Intercanviar coneixements i experiències relacionades amb el cas
   1. Compartir informació
   1. Enfortir l'anàlisi davant del cas
   1. Desenvolupar la capacitat de comunicació
   1. Millorar les habilitats de treball en equip
1. Sessió plenària: Després de la discussió en grups, el professor dirigeix una sessió plenària amb tota la classe per analitzar de forma constructiva el cas, clarificar conceptes i consolidar posicions. Aquesta sessió té com a objectiu arribar a conclusions sòlides a partir de les aportacions individuals dels estudiants.
   1. Analitzar de forma constructiva el cas
   1. Clarificar conceptes
   1. Consolidar posicions
   1. Obtenir conclusions
1. Avaluació: Els estudiants s'avaluen en funció del grau de preparació del cas, la solidesa de les seves argumentacions, la capacitat per defensar les seves posicions, la coherència a l'expressió oral i el nivell d'aportació a la discussió.
   1. Grau de preparació del cas
   1. Solidesa en l'argumentació
   1. Capacitat per defensar posicions
   1. Coherència a l'expressió oral
   1. Nivell d'aportació a la discussió

","aplicació, aprenentatge, basat, casos, comunicació, construcció, creativitat, decisió, descobriment, equip, estudiants, expressió, hipòtesi, individual, investigació, originalitat, presentació, problemes, professor, reptes, solució, teorització, visual","Resolució de problemes i Reptes, Construcció de coneixement, Comunicació i Creativitat",
Aprenentatge basat en el joc (ABJ),"L'aprenentatge basat en el joc es fonamenta en l**'ús de jocs educatius** per tal de millorar la motivació i adquisició de coneixements i competències per part dels alumnes en el seu procés d'aprenentatge. En particular, es refereix a jocs digitals o de natura computacional tot i que també inclou els tradicionals, amb la finalitat de donar suport a l'educació, l'aprenentatge o l'avaluació. Es considera una manera eficaç per a motivar els estudiants i participar en experiències d'aprenentatge actiu.

Els jocs que es fan servir en l'ABJ, normalment han estat creats específicament amb motivació educativa.

Una diferència fonamental entre la ludificació i l**'aprenentatge basat en el joc**, és que en el primer es fan servir tècniques dels jocs per fer activitats formals (aconseguir punts, pujar de nivell, obtenir una insígnia, etc.), mentre que en el segon **es fan servir jocs**, no només les seves tècniques.

Comparació d'ABJ amb altres metodologies:

| JOC | LUDIFICACIÓ (gamificació) | ABJ |h
|Es fan servir jocs|Es fan servir tècniques dels jocs per fer activitats formals|Es fan servir els jocs, no només les seves tècniques|
|L'objectiu és divertir-se|Conjunt de tasques amb una recompensa establerta|Joc amb uns objectius d'aprenentatge definits|
|Guanyar o perdre forma part del joc|Motivar per a l'aprenentatge|Motivar per a l'aprenentatge|
|La finalitat és jugar|El joc és el motor|El joc és la recompensa|

Adaptat de Viquipèdia.

## Exemple

Un exemple d'aprenentatge basat en el joc (ABJ) en educació secundària podria ser el següent:

Imagineu que els estudiants de l'ESO estan estudiant la història i el professor vol utilitzar l'ABJ per ajudar-los a millorar la seva comprensió dels fets històrics. El professor pot fer servir un joc digital o tradicional en el qual els estudiants han de respondre a preguntes sobre l'època que estan estudiant i completar activitats relacionades amb aquesta. Per exemple, el joc podria consistir en una sèrie de nivells en els quals els estudiants han de respondre a preguntes sobre els fets històrics més importants, completar mots encreuats o jocs de relació amb l'època que estan estudiant, o fer servir recursos com ara mapes o imatges per ajudar-los a comprendre millor el context històric. El joc pot utilitzar diferents elements motivadors, com ara punts, nivells o insígnies per ajudar a motivar els estudiants i fer que l'aprenentatge sigui més actiu.","aprenentatge, avaluació, basat, cohesió, col·laboració, comunicació, cooperació, creativitat, dinàmica de grup, estudiants, expressió, jocs, motivar, originalitat, presentació, professor, servir, treball en equip, visual","Cohesió i Cooperació, Comunicació i Creativitat",
Aprenentatge basat en l'acció (ABA),"S'entén per ABA una estratègia o metodologia d'ensenyament i aprenentatge basada en el treball cooperatiu al voltant d'activitats que compleixen els criteris: **adequada mediació instrumental i social** i **una vinculació intel·lectual, emocional i territorial**. 

Els processos d'ensenyament i aprenentatge es generen a través del treball col·laboratiu, guiat pel professor o professora, al voltant de la combinació de situacions **contextualitzades, fora del saló de classe**, i **descontextualitzades, al saló de classe**. 

És l'estudi, anàlisi o actuació en la realitat d'un aspecte de l'entorn.

Així com l'ABP permet superar la limitació del “silenci a les aules” a través de l'exercici del treball individual i col·lectiu al voltant de situacions i objectius d'aprenentatge, **l'ABA permet superar la limitació de la frontera entre el saló de classe descontextualitzat i la realitat o el món de vida contextualitzat**. En aquest sentit, l'aportació de l'ABA a l'ABP consisteix en l'èmfasi en la creació d'activitats significatives vinculades amb el territori, és a dir, **l'entorn real en què es mou l'alumnat**.

- 1a fase. Coneixements previs, explicitació dels objectius d'aprenentatge, calendari i posada en comú.

- 2a fase. Realització de l'activitat. A les classes successives es desenvolupen les següents activitats previstes. En aquesta fase s'inclou treball contextualitzat, fora de l'aula, i descontextualitzat, discussió de materials a l'aula.

- 3a fase. Presentació de l'experiència. Finalment, reflexiona, comparteix i valora l'experiència.


Adaptat de: Esteban, M. (2011). Del “Aprendizaje Basado En Problemas” (ABP) al “Aprendizaje Basado En La Acción” (ABA). Claves para su complementariedad e implementación.

## Exemple

Un exemple d'aprenentatge basat en l'acció (ABA) en educació secundària podria ser el següent:

Imagineu que els estudiants de l'ESO estan estudiant el medi ambient i el professor vol utilitzar l'ABA per ajudar-los a comprendre millor la importància de protegir els recursos naturals. El professor pot planificar una activitat en la qual els estudiants han de treballar col·laborativament per investigar sobre un problema ambiental específic, com ara la degradació de les aigües o la contaminació de l'aire, a la seva localitat. Després, han de dissenyar una campanya de conscienciació per promoure la preservació dels recursos naturals i presentar-la a la resta de la classe. Aquesta activitat inclou tant treballs contextualitzats, com ara fer entrevistes o fer observacions de camp, com treballs descontextualitzats, com ara fer servir recursos digitals o elaborar materials de promoció. A la fi de l'activitat, els estudiants reflexionen sobre el procés que han seguit i comparteixen els resultats de la seva campanya amb la resta de la classe. Aquest exemple mostra com l'ABA pot utilitzar la combinació de situacions contextualitzades i descontextualitzades per ajudar els estudiants a connectar amb el seu entorn i desenvolupar habilitats i coneixements de manera significativa.","acció, aplicació, aprenentatge, aula, basat, construcció, cooperatiu, decisió, descobriment, estudiants, hipòtesi, individual, investigació, problemes, professor, reptes, solució, teorització","Construcció de coneixement, Resolució de problemes i Reptes",
Aprenentatge basat en la investigació (ABI),"L'aprenentatge basat en investigació (ABI), en anglès *Research Based Learning*, consisteix a realitzar o participar en processos de recerca, aplicant la metodologia per comprovar o no la veracitat d'una hipòtesi, per donar resposta a un problema o per respondre una pregunta plantejada, acompanyant-los i supervisant tot el procés.

Es tracta, doncs, d'aplicar el mètode científic per investigar.

L'aprenentatge basat en laboratori és un cas particular d'aquest tipus d'aprenentatge.

Hi ha 5 possibles objectius de l'ABI:

1. Descriure
1. Comparar
1. Avaluar
1. Explicar o predir
1. Dissenyar o desenvolupar



## Implementació a l'aula

1. **Identificar problemes o situacions problemàtiques que requereixen investigació**. Són els mateixos estudiants els encarregats de buscar problemàtiques que vulguin solucionar o investigar, sent el docent un facilitador i orientador perquè obtinguin els resultats esperats.

1. **Estructurar el problema**. Com que és una estratègia basada en la investigació, la metodologia científica s'ha d'utilitzar per estructurar el tema o el problema que volen investigar, en aquesta fase poden proporcionar les hipòtesis que ajudin a resoldre el problema.

1. **Teoritzar sobre possibles solucions**. És important que els estudiants, utilitzant la creativitat i el seu enginy, siguin capaços de teoritzar les conclusions o solucions que poden trobar al camí de la recerca.

1. **Escollir una metodologia per investigar alternatives de solució**. En aquest punt, el rol del professor és important perquè els estudiants coneguin les diverses metodologies que hi ha per investigar i perquè puguin escollir la més adequada per a la seva feina.

1. ** Generar evidències amb base a la investigació**. Això li lliurarà pes i validesa a la feina que realitzin.
1. **Analitzar informació o dades**. És important que els alumnes puguin analitzar, comparar, diferenciar i generar conclusions sobre la base de les dades trobades a la seva recerca.
 
1. **Utilitzar pensament inductiu i hipoteticodeductiu**.
1. **Formular inferències i conclusions mitjançant un procés de recerca amb rigor científic**. Aquest punt i l'anterior fa la diferència amb altres estratègies actuals, com l'aprenentatge basat en projectes o basat en problemes, ja que l'ABI requereix la utilització del rigor de la metodologia científica, els altres tipus d'aprenentatges no l'utilitzen necessàriament.

Una altra versió, més simple, dels passos a seguir és:

1. **Explicació del context**. S'explica als alumnes quin és el problema.
1. **Reconeixement d'idees prèvies**. Són preguntes o activitats per veure el que els discents ja saben.
1. **Pregunta d'investigació**. Es presenta la pregunta que hauran d'investigar que pot pertany a allò que ja s'ha vist a classe. És important que aquesta pregunta es pugui resoldre amb els mètodes propis de la disciplina de la classe.
1. **Hipòtesis**. Els alumnes fan hipòtesis sobre les possibles respostes a la pregunta.
1. **Comprovació de la hipòtesi.** Mitjançant l'experimentació (en el cas que sigui un problema experimental), la recopilació de dades i la seva anàlisi.
1. **Elaboració de resultats i presentació a la resta de la classe**.

Fonts: 

- Briceño, G. (2021). Aprendizaje basado en la investigación: estrategia educativa para el desarrollo de competencias.
- Servicio de Innovación Educativa de la UPM (Julio 2020). Aprendizaje basado en la investigación.
- Lamelo, O.S. (2015). Caja de Herramientas Pensamiento Crítico

---
## Exemple
Un exemple d'aprenentatge basat en la investigació podria ser un grup d'estudiants que volen investigar l'efecte dels diferents tipus de fertilitzants en el creixement de plantes. 

1. Identificar problemes o situacions problemàtiques que requereixen investigació. Els estudiants han identificat com a problema o situació problemàtica a investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Estructurar el problema. Per estructurar el problema, els estudiants han establert una hipòtesi, que és ""el fertilitzant orgànic proporciona un millor creixement de les plantes que el fertilitzant químic"".
1. Teoritzar sobre possibles solucions. Els estudiants han teoritzat sobre possibles solucions, com ara utilitzar diferents tipus de fertilitzants i distribuir-los a les plantes de manera diferent.
1. Escollir una metodologia per investigar alternatives de solució. El professor ha ajudat els estudiants a escollir una metodologia adequada per investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes, com ara fer experiments amb diferents grups de plantes i mesurar el creixement cada setmana.
1. Generar evidències amb base a la investigació. Per generar evidències, els estudiants han pres fotografies o han fet mesuraments del creixement de les plantes cada setmana.
1. Analitzar informació o dades. Els estudiants han analitzat les dades recollides i han comparat el creixement de les plantes amb diferents tipus de fertilitzants.
1. Utilitzar pensament inductiu i hipotètic-deductiu. Els estudiants han utilitzat el pensament inductiu i hipotètic-deductiu per inferir conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Formular inferències i conclusions mitjançant un procés de recerca amb rigor científic. Els estudiants han formulat inferències i conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes utilitzant un procés de recerca amb rigor científic.

També podem utilitzar una estructura més simple pel mateix problema:

1. Explicació del context. S'explica als alumnes que volen investigar l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes.
1. Reconeixement d'idees prèvies. Es fan preguntes als estudiants sobre què saben sobre fertilitzants i el creixement de les plantes per veure quines idees prèvies tenen sobre el tema.
1. Pregunta d'investigació. Es presenta la pregunta ""Quin tipus de fertilitzant proporciona un millor creixement de les plantes: el fertilitzant orgànic o el fertilitzant químic?"" als estudiants.
1. Hipòtesis. Els alumnes fan hipòtesis sobre les possibles respostes a la pregunta, com ara ""creiem que el fertilitzant orgànic proporcionarà un millor creixement de les plantes que el fertilitzant químic"".
1. Comprovació de la hipòtesi. Els estudiants fan experiments amb diferents grups de plantes fertilitzades amb orgànic o químic i mesuren el creixement cada setmana per comprovar si la hipòtesi és correcta o no.
1. Elaboració de resultats i presentació a la resta de la classe. Els estudiants analitzen les dades recollides i elaboruen resultats i conclusions sobre l'efecte dels diferents tipus de fertilitzants en el creixement de les plantes. A continuació, presenten els resultats de la investigació a la resta de la classe de manera clara i amb rigor científic.

","anàlisi, aprenentatge, basat, comprensió, construcció, creixement, descobriment, estudiants, hipòtesi, informació, investigació, lectura, metacognició, pensament, pensament crític, perspectiva, plantes, problemes, reflexió, resum, rutina de pensament, sintesi, teorització","Construcció de coneixement, Processament i Anàlisi de la informació, Pensament Crític i Metacognició",
Aprenentatge basat en laboratori (ABL),"Aquest tipus d’aprenentatge es basa en el fet que si l’alumne pot observar i manipular de primera mà alguns aspectes de la ciència, ha de ser capaç d’entendre i assolir millor el contingut que amb altres mètodes. Amb aquest model donem a l’alumne l’opció de practicar amb la ciència de la mateixa manera que si fossin professionals. Per tal que aquest tipus d’aprenentatge sigui efectiu, els estudiants han d’entendre com es fa l’experiment i per què val la pena fer-lo, a part de saber que els proporcionarà més enteniment del concepte.

L'ABL es pot considerar un cas particular del més general: Aprenentatge basat en Investigació.

Aquest mètode proporciona a l’alumne habilitats com la investigació i la gestió de la informació, la resolució de problemes, la capacitat d’anàlisi i síntesi, el pensament crític, i desenvolupa actituds com la curiositat, l’interès, la responsabilitat i la col·laboració.

## Fases del procés

1. Fer preguntes sobre el fet a estudiar.  Aquesta pregunta és proporcionada pel professorat. Per exemple: tots tenim una ombra?
1. Intentar donar una explicació que serà la hipòtesi de treball.
1. Fer el disseny de l'experiment, responent aquestes preguntes:
   1. Què faré?
   1. Com ho faré?
   1. Com recolliré les dades?
1. Analitzar i interpretar les dades:
   1. Què ha passat?
   1. Què es pot dir de la hipòtesi inicial?
1. Construir una explicació:
   1. Com pots explicar el que has descobert?
1. Comunicació:
   1. Com presentaré les meves troballes?","anàlisi, aplicació, aprenentatge, basat, cohesió, col·laboració, comprensió, comunicació, construcció, cooperació, creativitat, decisió, descobriment, dinàmica de grup, estudiants, expressió, hipòtesi, informació, investigació, laboratori, lectura, metacognició, originalitat, pensament, pensament crític, perspectiva, presentació, problemes, reflexió, reptes, resolució, resum, rutina de pensament, sintesi, solució, teorització, treball en equip, visual","Processament i Anàlisi de la informació, Construcció de coneixement, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Cohesió i Cooperació, Comunicació i Creativitat",
Aprenentatge basat en preguntes  (ABPC),"L**'aprenentatge basat en preguntes per a la comprensió** consisteix en: 

Desenvolupar una unitat a través de preguntes estructurades i jerarquitzades per aconseguir aprenentatges significatius. 

- Les preguntes seran de tipus: **fàctiques**, de **raonament** i **problemàtiques** i seran organitzades en una guia de preguntes que es durà a terme en equip, idealment de 3 estudiants (mínim 2 i màxim 5).

- Se suggereix escollir aquesta metodologia quan: calgui incentivar i corroborar la comprensió de l'estudiant sobre continguts centrals del curs.
- Permet a l'estudiant: explorar les idees prèvies, sintetitzar la informació adquirida (organitzant-la i jerarquitzant-la) i, sobretot, transferir i aplicar el seu coneixement a noves situacions. 
- A més, desenvolupa competències de treball col·laboratiu i metacognitives (aprendre a aprendre).

## Com desenvolupar-la.

1. Determinar què és el que és central i significatiu del contingut.
1. Definir una situació - problema abastadora i el seu context. Redactar-la com a pregunta.
1. Elaborar la guia de preguntes jerarquitzades, partint per:

   1. **Fàctiques** o de coneixement: Recull informació sobre la memorització dels conceptes claus tractats. Es poden elaborar preguntes que lliurin dades específiques rellevants (Què és…?, Podrieu resumir el fet central de…?) i les que conviden a utilitzar coneixements previs, sentiments, creences, experiències i opinions (Què creieu sobre…? Què penseu de…?).

   1. **De Raonament**: recullen informació sobre la comprensió de la informació. Poden haver-hi per clarificar (podrien explicar…?, com li explicaríeu això a algú que no té coneixements sobre això?), per qüestionar suposicions (serà sempre així?, què passaria sí…?, serà vàlid en aquest cas), per provar motius i evidències (Podríeu aportar una evidència?, Podríeu dubtar de…?, com podríeu comprovar que això és cert?), d'Aplicació (Com s'aplica això a…?, com es podria solucionar… ?).

   1. **Problemàtiques o creatives**: Fomenten la creació de solucions o respostes originals amb la informació processada (Quines altres alternatives se us acudeixen per a…?, com ho imagineu al futur?, què passaria si…?, quins canvis o millores li faríeu?, quins projectes se t'acudeixen al voltant d'això?).


Les preguntes sempre han d'estar jerarquitzades (de fàctiques a creatives)

Font: IPCHILE. (2019). Ficha para implementar y evaluar metodología y aprendizaje basado en preguntas para la comprensión.

## Exemple
En una unitat sobre la història de la música occidental, el professor ha decidit utilitzar la metodologia de l'aprenentatge basat en preguntes per incentivar i corroborar la comprensió dels estudiants sobre els continguts centrals del curs. Per això, ha elaborat una guia de preguntes jerarquitzades amb les següents categories:

1. Preguntes fàctiques: Quines són les tres èpoques més importants de la música occidental? Quins són els instruments més característics de cada època? Quins són els compositors més destacats de cada època?

1. Preguntes de raonament: Per què la música ha evolucionat des de l'època clàssica fins a l'època contemporània? Quines són les diferències entre els estils de música de cada època? Com s'influencien música i societat?

1. Preguntes problemàtiques o creatives: Si poguéssim crear una nova època de música, quins serien els seus elements característics? Quines serien les influències més importants per a aquesta nova època? Com s'adaptaria la música a les noves tecnologies?

El professor ha dividit els estudiants en grups de 3 i ha assignat a cada grup una de les èpoques de la música occidental. Els estudiants han de treballar en equip per elaborar una guia de preguntes amb les tres categories anteriors per a la seva època assignada. Després, cada grup presentarà les seves preguntes al resta de la classe, que s'encarregaran de respondre-les. Així, l'aprenentatge es desenvoluparà de forma col·laborativa i metacognitiva, ja que els estudiants han de fer servir les seves idees prèvies, sintetitzar la informació adquirida, organitzar-la i jerarquitzar-la, i aplicar el seu coneixement a noves situacions.
","abpc, anàlisi, aprenentatge, autoavaluació, avaluació formativa, basat, coavaluació, comprensió, continguts, equip, estudiants, feedback, grup, informació, lectura, preguntes, professor, resum, seguiment, sintesi","Processament i Anàlisi de la informació, Avaluació Formativa i Feedback",
Aprenentatge basat en problemes (ABP),"Mida de L'EQUIP: Grups petits (normalment de 3 a 5 alumnes). 

OBJECTIUS: 
- Fomentar el pensament crític i l'anàlisi de situacions complexes.
- Desenvolupar habilitats per a la resolució de problemes del món real.
- Promoure l'aprenentatge autònom i la capacitat de cerca d'informació.
- Millorar les competències de treball cooperatiu i comunicació.

PASSOS: 

1. Presentació del problema: El docent planteja una situació o problema real, obert i significatiu que serveix com a punt de partida.
2. Identificació de necessitats: Els alumnes analitzen el problema, identifiquen què saben i què necessiten aprendre per resoldre'l.
3. Definició d'objectius: El grup estableix un pla de treball i els objectius d'aprenentatge necessaris per abordar el repte.
4. Recerca i estudi: Cada membre del grup investiga de forma autònoma la informació assignada.
5. Posada en comú i síntesi: Els alumnes comparteixen la informació trobada, discuteixen les possibles solucions i elaboren una proposta final.
6. Presentació de resultats: El grup presenta la seva solució o conclusions a la resta de la classe.
7. Reflexió i avaluació: Es realitza una valoració del procés seguit, del treball en equip i dels coneixements adquirits.

OBSERVACIONS I CONSELLS PRÀCTICS: 
El problema no ha de tenir una única solució ""correcta"", sinó que ha de permetre diferents enfocaments i debats. El paper del docent passa de ser un transmissor de coneixements a ser un tutor o facilitador que guia el procés sense donar les respostes directament. És fonamental que el problema estigui ben dissenyat i sigui motivador per a l'alumnat. Cal assegurar-se que els grups tinguin accés a fonts d'informació variades i fiables.

## Exemple d'aplicació de l'Aprenentatge basat en problemes (ABP):

En l'assignatura de Tecnologia, es planteja el repte de dissenyar un sistema de reg automàtic per a l'hort escolar que sigui sostenible i de baix cost.

1. El professor presenta el problema: l'hort s'asseca durant els caps de setmana i el pressupost per a un sistema comercial és massa elevat.
2. Els alumnes identifiquen que necessiten aprendre sobre sensors d'humitat, programació bàsica (com Arduino) i el funcionament de les vàlvules d'aigua.
3. Es divideixen les tasques d'investigació: uns busquen components barats, altres aprenen el codi de programació i altres dissenyen l'estructura física.
4. Els grups munten un prototip i fan proves de funcionament a l'aula.
5. Finalment, instal·len el sistema a l'hort i presenten el resultat final, explicant com han superat els problemes tècnics que han anat sorgint durant el procés.","anàlisi, aplicació, aprenentatge, autoavaluació, avaluació formativa, basat, coavaluació, cohesió, col·laboració, comprensió, comunicació, construcció, cooperació, creativitat, crític, decisió, descobriment, dinàmica de grup, docent, equip, expressió, feedback, grup, hipòtesi, informació, investigació, lectura, metacognició, originalitat, pensament, pensament crític, perspectiva, presentació, problemes, reflexió, reptes, resum, rutina de pensament, seguiment, sintesi, solució, teorització, treball en equip, visual","Processament i Anàlisi de la informació, Construcció de coneixement, Resolució de problemes i Reptes, Pensament Crític i Metacognició, Avaluació Formativa i Feedback, Cohesió i Cooperació, Comunicació i Creativitat",
